COMPANY_ID,COMPANY_NAME,INDUSTRY,HQ_COUNTRY,SIZE_BAND,HIRING_CITY,HIRING_STATE,STATUS,PARTNER_SINCE,UPDATED_AT,LOAD_TS,FILE_NAME,ROW_NUMBER,BATCH_ID
CO001,TCS,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,2026-01-01 08:00:00,1788913803774063,placement_companies.csv,1,BATCH_20260909_002951
CO002,Infosys,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,2026-01-01 08:01:00,1788913803774063,placement_companies.csv,2,BATCH_20260909_002951
CO003,Wipro,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,2026-01-01 08:02:00,1788913803774063,placement_companies.csv,3,BATCH_20260909_002951
CO004,HCLTech,IT Services,India,Large,Noida,UP,ACTIVE,2010-01-01,2026-01-01 08:03:00,1788913803774063,placement_companies.csv,4,BATCH_20260909_002951
CO005,Accenture,Consulting,USA,Large,Hyderabad,TS,ACTIVE,2015-01-01,2026-01-01 08:04:00,1788913803774063,placement_companies.csv,5,BATCH_20260909_002951
CO006,Google,Tech,USA,Large,Bengaluru,KA,ACTIVE,2017-01-01,2026-01-01 08:05:00,1788913803774063,placement_companies.csv,6,BATCH_20260909_002951
CO007,Microsoft,Tech,USA,Large,Hyderabad,TS,ACTIVE,2017-01-01,2026-01-01 08:06:00,1788913803774063,placement_companies.csv,7,BATCH_20260909_002951
CO008,Amazon,Tech,USA,Large,Chennai,TN,ACTIVE,2016-01-01,2026-01-01 08:07:00,1788913803774063,placement_companies.csv,8,BATCH_20260909_002951
CO009,Zoho,Tech,India,Mid,Chennai,TN,ACTIVE,2014-01-01,2026-01-01 08:08:00,1788913803774063,placement_companies.csv,9,BATCH_20260909_002951
CO010,Freshworks,SaaS,USA,Mid,Chennai,TN,ACTIVE,2016-01-01,2026-01-01 08:09:00,1788913803774063,placement_companies.csv,10,BATCH_20260909_002951
CO011,LTIMindtree,IT Services,India,Large,Chennai,TN,ACTIVE,2012-01-01,2026-01-01 08:10:00,1788913803774063,placement_companies.csv,11,BATCH_20260909_002951
CO012,Deloitte,Consulting,UK,Large,Mumbai,MH,ACTIVE,2015-01-01,2026-01-01 08:11:00,1788913803774063,placement_companies.csv,12,BATCH_20260909_002951
CO013,Capgemini,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,2026-01-01 08:12:00,1788913803774063,placement_companies.csv,13,BATCH_20260909_002951
CO014,SAP Labs,Tech,Germany,Large,Bengaluru,KA,ACTIVE,2018-01-01,2026-01-01 08:13:00,1788913803774063,placement_companies.csv,14,BATCH_20260909_002951
CO015,Paytm,FinTech,India,Large,Noida,UP,ACTIVE,2015-01-01,2026-01-01 08:14:00,1788913803774063,placement_companies.csv,15,BATCH_20260909_002951
