SK_COLLEGE,COLLEGE_ID,COLLEGE_NAME,CITY,STATE,COUNTRY,OWNERSHIP,TIER,CATEGORY,ESTABLISHED_DATE,STATUS
d14217b798f5ef107d1d6b5c7fe540ef,CL001,Anna University - CEG,Chennai,TN,India,Public,Tier-1,Engineering,1978-01-01,ACTIVE
db2ae809cfc87760f7a96153de6f6c78,CL002,IIT Madras,Chennai,TN,India,Public,Tier-1,Engineering,1959-01-01,ACTIVE
66de95f4be29c1081a0f1daee38c0083,CL003,NIT Trichy,Tiruchirappalli,TN,India,Public,Tier-1,Engineering,1964-01-01,ACTIVE
c6e13f5f5e109814224c7e5831b70d40,CL004,SRM Institute of Science and Technology,Kattankulathur,TN,India,Private,Tier-1,Engineering,1985-01-01,ACTIVE
7197e703ce721715ee541de244be13c3,CL005,VIT Vellore,Vellore,TN,India,Private,Tier-1,Engineering,1984-01-01,ACTIVE
5073ca0ddef03d3eb229a66b80eb4636,CL006,BITS Pilani,Pilani,RJ,India,Private,Tier-1,Engineering,1964-01-01,ACTIVE
9128c31a7483f3b584eadbbf0402b51d,CL007,Delhi University,Delhi,DL,India,Public,Tier-1,University,1922-01-01,ACTIVE
64642ce531e425151488bf40aa088e06,CL008,Jadavpur University,Kolkata,WB,India,Public,Tier-1,Engineering,1955-01-01,ACTIVE
7200a50909651e81263f42382f3a2eed,CL009,IIT Bombay,Mumbai,MH,India,Public,Tier-1,Engineering,1958-01-01,ACTIVE
68cef0a019117aa6f427e6d91eec13b6,CL010,IIT Delhi,Delhi,DL,India,Public,Tier-1,Engineering,1961-01-01,ACTIVE
1aed5360b0e424bc581628a78bd38930,CL011,PSG College of Technology,Coimbatore,TN,India,Private,Tier-2,Engineering,1951-01-01,ACTIVE
bde97b5e33d57389336e22d9753054db,CL012,Manipal Institute of Technology,Manipal,KA,India,Private,Tier-2,Engineering,1957-01-01,ACTIVE
db3c78394f1c3d5708590e2a2f7cecbe,CL013,College of Engineering Pune (COEP),Pune,MH,India,Public,Tier-1,Engineering,1854-01-01,ACTIVE
8677d39e2ddb3c963a95bb6bb416d8ac,CL014,JNTU Hyderabad,Hyderabad,TS,India,Public,Tier-2,Engineering,1972-01-01,ACTIVE
8aa935e0a2bca82b501367a828b26e98,CL015,Amity University,Noida,UP,India,Private,Tier-2,University,2005-01-01,ACTIVE
