SK_COMPANY,COMPANY_ID,COMPANY_NAME,INDUSTRY,HQ_COUNTRY,SIZE_BAND,HIRING_CITY,HIRING_STATE,STATUS,PARTNER_SINCE,HASH_DIFF,EFF_START_TS,EFF_END_TS,IS_CURRENT
954a9805522d9b7737786c0b41d73fdf,CO001,TCS,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,4ad21aadc756d0af14e20a78f740c6fc,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
4a92b6f848a7863ca882f662ff5ade62,CO002,Infosys,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,4ad21aadc756d0af14e20a78f740c6fc,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
bae3d299a1383fe7cfc535efc610af84,CO003,Wipro,IT Services,India,Large,Bengaluru,KA,ACTIVE,2010-01-01,4ad21aadc756d0af14e20a78f740c6fc,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
2afe3efdd57fc3b13d0dbe857a9d7b8c,CO004,HCLTech,IT Services,India,Large,Noida,UP,ACTIVE,2010-01-01,cbe6f66ba6938ed16e6c25df88bbccc1,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
c7f7e46c32eaf5f1bcfded55515c6313,CO005,Accenture,Consulting,USA,Large,Hyderabad,TS,ACTIVE,2015-01-01,07c9d210d67ad56c44035d42b645aa63,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
e2d401ee5a9ba517246dd26016726769,CO006,Google,Tech,USA,Large,Bengaluru,KA,ACTIVE,2017-01-01,8c5d95cb686634b94184869c596f3417,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
77c39130f2e02534773c40d86ffb4df7,CO007,Microsoft,Tech,USA,Large,Hyderabad,TS,ACTIVE,2017-01-01,aa65b92713399ee2c15fd8093e7ea8c0,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
4241dd9c86faf7f0fb809532191f91ba,CO008,Amazon,Tech,USA,Large,Chennai,TN,ACTIVE,2016-01-01,193d35e5e8a144fd620245ac702cb519,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
f012c7e592ae6564e7d7f10016946f8b,CO009,Zoho,Tech,India,Mid,Chennai,TN,ACTIVE,2014-01-01,6a24e1688fc3af2c689e8d7f2a9c621f,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
b547e09cf0339ae55c3fa1f835edc7e4,CO010,Freshworks,SaaS,USA,Mid,Chennai,TN,ACTIVE,2016-01-01,53ea661989432f5f141809f849b2c5fd,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
60ce35485189716b2a5089346a155b55,CO011,LTIMindtree,IT Services,India,Large,Chennai,TN,ACTIVE,2012-01-01,0289541c2fb8e596b321462ae502a24a,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
eb7d8901aadd343ab4bbd5ca6b384f95,CO012,Deloitte,Consulting,UK,Large,Mumbai,MH,ACTIVE,2015-01-01,f198f59619bb4b2d17ca6debb283bb49,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
0433b30c6edf0e6171dc3c5a2f5601cd,CO013,Capgemini,IT Services,France,Large,Pune,MH,ACTIVE,2014-01-01,8ce0cabb3ec9a31d91a40c101c8dde36,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
8442f306f7d371180be077643b8649a5,CO014,SAP Labs,Tech,Germany,Large,Bengaluru,KA,ACTIVE,2018-01-01,8c5d95cb686634b94184869c596f3417,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
76fc2b50ed3929bdc9a1735331c0cfd2,CO015,Paytm,FinTech,India,Large,Noida,UP,ACTIVE,2015-01-01,efb3cbbc252770e9c6a06da64f8f8319,2026-09-08 19:11:32.790,9999-12-31 00:00:00,True
